,THROW,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,
Distance (m),72.38,X,73.1,X,74.61,75.95,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,
Impulse Contact,,,,,,,,,,,,,,,,,,,
Impulse Phase,,,,,0.39,,0.39,,,,,,,,,,,,
Delivery Phase,0.17,0.16,0.18,0.19,0.18,0.17,0.18,,,,,,,,,,,,
Release Phase,0.14,0.15,0.14,0.15,0.15,0.14,0.15,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,
Release (°),36,34,37,29,37,38,35,,,,,,,,,,,,
Attack (°),7,10,1,9,2,4,6,,,,,,,,,,,,
Yaw (°),22,19,19,18,21,19,20,,,,,,,,,,,,
VoR (m/s),25.6,26.1,24.5,26.8,26.5,26.5,26,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
PKAc (°),172,170,174,174,170,176,172.6666667,,,,,,,,,,,,
PKAm (°),143,136,140,140,140,143,140.3333333,,,,,,,,,,,,
Difference,29,34,34,34,30,33,32.33333333,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),136,123,128,127,121,126,126.8333333,,,,,,,,,,,,
Jav-Forearm Angle (°),63,70,66,60,69,68,66,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,
ISL (cm),,,,,1.95,,1.95,,,,,,,,,,,,
BSL (cm),1.62,1.57,1.65,1.69,1.55,1.55,1.605,,,,,,,,,,,,
ISL:BSL (%),,,,,26%,,26%,,,,,,,,,,,,
NA Draw Length (m),0.97,0.89,1.04,1.01,0.95,0.97,0.971666667,,,,,,,,,,,,
Pull Length (m),1.39,1.48,1.41,1.56,1.47,1.4,1.451666667,,,,,,,,,,,,
Draw distance (m),2.36,2.37,2.45,2.57,2.42,2.37,2.423333333,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,
