,THROW,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,
Distance (m),53.19,55.19,58.13,54.82,60.73,53.19,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,
Impulse Contact,0.12,0.12,0.13,0.13,0.12,0.12,0.12,,,,,,,,,,,,,
Impulse Phase,0.33,0.35,0.35,0.32,0.34,0.33,0.34,,,,,,,,,,,,,
Delivery Phase,0.16,0.16,0.17,0.16,0.18,0.16,0.17,,,,,,,,,,,,,
Release Phase,0.16,0.15,0.14,0.16,0.14,0.16,0.15,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,
Release (°),35,31,31,30,36,35,33,,,,,,,,,,,,,
Attack (°),7,8,10,8,4,7,7,,,,,,,,,,,,,
Yaw (°),18,22,24,23,24,18,22,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
PKAc (°),150,164,165,160,167,150,159.3333333,,,,,,,,,,,,,
PKAm (°),136,137,146,137,148,136,140,,,,,,,,,,,,,
Difference,14,27,19,23,19,14,19.33333333,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),128,129,128,126,129,128,128,,,,,,,,,,,,,
Jav-Forearm Angle (°),66,64,68,64,67,66,65.83333333,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,
ISL (cm),1.62,1.76,1.71,1.48,1.69,1.62,1.646666667,,,,,,,,,,,,,
BSL (cm),1.26,1.27,1.36,1.35,1.36,1.26,1.31,,,,,,,,,,,,,
ISL:BSL (%),0.29,0.39,0.26,0.1,0.24,0.29,26%,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,
Draw distance (m),2.6,2.46,2.5,2.62,2.39,2.6,2.528333333,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,
