,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),65.56,X,63.64,,,65.56,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,43,42,42,,,43,42.50,,,,,,,,,,,,,,,
Impulse Phase,151,152,151,,,151,151.25,,,,,,,,,,,,,,,
Delivery Phase,0.16,0.14,0.15,,,0.16,0.15,,,,,,,,,,,,,,,
Release Phase,0.4,0.36,0.38,,,0.4,0.39,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),29,25,33,,,29,29,,,,,,,,,,,,,,,
Attack (°),11,10,12,,,11,11,,,,,,,,,,,,,,,
Yaw (°),-2,6,13,,,-2,4,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),170,162,168,,,170,167.5,,,,,,,,,,,,,,,
PKAm (°),151,148,147,,,151,149.25,,,,,,,,,,,,,,,
Difference,19,14,21,,,19,18.25,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.89,3.08,2.82,,,2.89,2.92,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.66,1.68,1.48,,,1.66,1.62,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),1.94,1.94,1.94,,,1.94,1.94,,,,,,,,,,,,,,,
BSL (cm),1.55,1.49,1.6,,,1.55,1.5475,,,,,,,,,,,,,,,
ISL:BSL (%),0.25,0.3,0.21,,,0.25,25%,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.23,1.4,1.34,,,1.23,1.3,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
