,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),65.95,62.6,X,,,65.95,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,51,48,55,,,51,51.25,,,,,,,,,,,,,,,
Impulse Phase,128,129,123,,,128,127.00,,,,,,,,,,,,,,,
Delivery Phase,0.14,0.14,0.13,,,0.14,0.14,,,,,,,,,,,,,,,
Release Phase,0.4,0.42,0.38,,,0.4,0.40,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),38,34,30,,,38,35,,,,,,,,,,,,,,,
Attack (°),4,9,10,,,4,7,,,,,,,,,,,,,,,
Yaw (°),20,15,16,,,20,18,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),164,164,163,,,164,163.75,,,,,,,,,,,,,,,
PKAm (°),138,149,129,,,138,138.5,,,,,,,,,,,,,,,
Difference,26,15,34,,,26,25.25,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.59,2.7,2.96,,,2.59,2.71,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.42,1.51,1.67,,,1.42,1.505,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.3,2.28,2.21,,,2.3,2.2725,,,,,,,,,,,,,,,
BSL (cm),1.7,1.69,1.83,,,1.7,1.73,,,,,,,,,,,,,,,
ISL:BSL (%),0.35,0.35,0.21,,,0.35,32%,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.17,1.19,1.29,,,1.17,1.205,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
