,THROW,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,
Distance (m),67.7,70.2,X,X,71.09,70.65,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,
Impulse Contact,,,,,,,,,,,,,,,,,,,
Impulse Phase,0.42,0.42,0.41,0.4,0.41,0.41,0.41,,,,,,,,,,,,
Delivery Phase,0.19,0.19,0.17,0.18,0.21,0.21,0.19,,,,,,,,,,,,
Release Phase,0.15,0.16,0.15,0.16,0.16,0.16,0.16,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,
Release (°),31,32,33,36,35,36,34,,,,,,,,,,,,
Attack (°),6,3,1,0,1,0,2,,,,,,,,,,,,
Yaw (°),12,10,10,12,13,11,11,,,,,,,,,,,,
VoR (m/s),25.7,26.1,26.2,25.3,26.4,26.1,25.96666667,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
PKAc (°),171,170,169,166,165,167,168,,,,,,,,,,,,
PKAm (°),145,143,138,137,135,133,138.5,,,,,,,,,,,,
Difference,26,27,31,29,30,34,29.5,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),126,133,130,129,131,131,130,,,,,,,,,,,,
Jav-Forearm Angle (°),59,54,61,58,62,60,59,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,
ISL (cm),2.11,2.19,2.09,2.07,2.1,2.1,2.11,,,,,,,,,,,,
BSL (cm),1.47,1.51,1.53,1.5,1.6,1.62,1.538333333,,,,,,,,,,,,
ISL:BSL (%),44%,45%,37%,38%,31%,30%,38%,,,,,,,,,,,,
NA Draw Length (m),1.14,1.11,1.09,1.1,1.17,1.18,1.131666667,,,,,,,,,,,,
Pull Length (m),1.53,1.56,1.54,1.64,1.64,1.65,1.593333333,,,,,,,,,,,,
Draw distance (m),2.67,2.67,2.63,2.74,2.81,2.83,2.725,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,
