,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),X,46.33,44.74,X,42.01,45.02,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,,,,,,,
Impulse Phase,,,,,,,
Delivery Phase,,0.27,0.26,0.27,0.29,0.26,0.27
Release Phase,,0.17,0.17,0.17,0.15,0.16,0.16
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),,,,,,,
Release (°),,42,40,37,36,42,39
Attack (°),,2,4,5,11,5,5
Yaw (°),23,18,18,21,25,18,21
VoR (m/s),,21.1,20.2,20.9,19.7,20.1,20.4
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),,171,172,170,172,177,172.4
PKAm (°),,149,139,145,146,150,145.8
Difference,,22,33,25,26,27,26.6
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),,133,129,138,140,134,134.8
Jav-Forearm Angle (°),,71,75,73,75,74,73.6
DISTANCES,,,,,,,
ISL (cm),,,,,,,
BSL (cm),,1.72,1.77,1.68,1.85,1.87,1.778
ISL:BSL (%),,,,,,,
NA Draw Length (m),,1.46,1.4,1.55,1.51,,1.48
Pull Length (m),,1.3,1.17,1.15,1.06,1.15,1.166
Draw distance (m),,2.76,2.57,2.7,2.57,1.15,2.35
Release distance (m),,,,,,,
