,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),73.25,79.1,75.76,71.69,78.74,74.99,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,,,,,,,
Impulse Phase,0.4,0.39,0.38,0.38,0.35,0.38,0.38
Delivery Phase,0.23,0.21,0.21,0.23,0.22,0.22,0.22
Release Phase,0.15,0.15,0.15,0.14,0.15,0.15,0.15
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),,,,,,,
Release (°),33,38,39,35,39,36,37
Attack (°),3,-4,-4,-4,-3,2,-2
Yaw (°),6,19,19,10,4,9,11
VoR (m/s),25.2,26.7,27.5,26,27.4,26.8,26.6
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),173,170,172,172,174,175,172.6666667
PKAm (°),148,151,147,155,154,151,151
Difference,25,19,25,17,20,24,21.66666667
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),139,133,139,139,137,138,137.5
Jav-Forearm Angle (°),57,64,56,52,55,57,56.83333333
DISTANCES,,,,,,,
ISL (cm),2.05,2.02,2.11,2.15,1.84,2,2.028333333
BSL (cm),1.64,1.76,1.68,1.7,1.68,1.75,1.701666667
ISL:BSL (%),25%,15%,26%,26%,10%,14%,19%
NA Draw Length (m),1.33,1.42,1.5,1.51,1.42,1.44,1.436666667
Pull Length (m),1.58,1.41,1.29,1.51,1.4,1.52,1.451666667
Draw distance (m),2.91,2.83,2.79,3.02,2.82,2.96,2.888333333
Release distance (m),,,,,,,
