,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),38.91,30.02,39.98,,,38.91,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,67,72,71,,,67,69.25,,,,,,,,,,,,,,,
Impulse Phase,111,111,108,,,111,110.25,,,,,,,,,,,,,,,
Delivery Phase,0.17,0.16,0.16,,,0.17,0.17,,,,,,,,,,,,,,,
Release Phase,0.41,0.38,0.4,,,0.41,0.40,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),33,40,36,,,33,36,,,,,,,,,,,,,,,
Attack (°),6,8,0,,,6,5,,,,,,,,,,,,,,,
Yaw (°),17,23,19,,,17,19,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,,,,,,,,,,,,,,,,,,,,,
PKAm (°),,,,,,,,,,,,,,,,,,,,,,
Difference,,,,,,,,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.55,2.59,2.51,,,2.55,2.55,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.28,1.16,1.17,,,1.28,1.2225,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),,,,,,,,,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.27,1.43,1.34,,,1.27,1.3275,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
