,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),67.79,68.23,65.71,62.06,X,67.79,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,56,42,42,38,41,56,45.83,,,,,,,,,,,,,,,
Impulse Phase,140,156,154,154,152,140,149.33,,,,,,,,,,,,,,,
Delivery Phase,0.17,0.15,0.17,0.16,0.16,0.17,0.16,,,,,,,,,,,,,,,
Release Phase,0.4,0.38,0.38,0.37,0.36,0.4,0.38,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),33,29,28,30,27,33,30,,,,,,,,,,,,,,,
Attack (°),10,12,15,4,6,10,10,,,,,,,,,,,,,,,
Yaw (°),7,3,12,5,9,7,7,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),168,,,,,168,168,,,,,,,,,,,,,,,
PKAm (°),134,,,,,134,134,,,,,,,,,,,,,,,
Difference,34,,,,,34,34,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.89,2.92,2.99,2.9,2.96,2.89,2.925,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.49,1.71,1.69,1.72,1.74,1.49,1.64,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),,1.95,,1.93,,,1.94,,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.4,1.21,1.3,1.18,1.22,1.4,1.285,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
