,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),X,65.34,X,,,,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,43,40,47,,,,43.33,,,,,,,,,,,,,,,
Impulse Phase,157,154,137,,,,149.33,,,,,,,,,,,,,,,
Delivery Phase,0.14,0.14,0.14,,,,0.14,,,,,,,,,,,,,,,
Release Phase,0.41,0.42,0.37,,,,0.40,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),34,37,40,,,,37,,,,,,,,,,,,,,,
Attack (°),8,6,2,,,,5,,,,,,,,,,,,,,,
Yaw (°),19,18,18,,,,18,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),176,173,173,,,,174,,,,,,,,,,,,,,,
PKAm (°),149,142,141,,,,144,,,,,,,,,,,,,,,
Difference,27,31,32,,,,30,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.68,2.63,2.5,,,,2.603333333,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),0.99,1.09,1.09,,,,1.056666667,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.2,2.12,1.88,,,,2.066666667,,,,,,,,,,,,,,,
BSL (cm),1.9,1.81,1.76,,,,1.823333333,,,,,,,,,,,,,,,
ISL:BSL (%),16%,17%,7%,,,,13%,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.69,1.54,1.41,,,,1.546666667,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
