,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),69.46,60.91,65.95,,,69.46,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,49,54,50,,,49,50.50,,,,,,,,,,,,,,,
Impulse Phase,131,128,131,,,131,130.25,,,,,,,,,,,,,,,
Delivery Phase,0.15,0.16,0.15,,,0.15,0.15,,,,,,,,,,,,,,,
Release Phase,0.48,0.44,0.42,,,0.48,0.46,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),39,37,37,,,39,38,,,,,,,,,,,,,,,
Attack (°),-3,1,-1,,,-3,-2,,,,,,,,,,,,,,,
Yaw (°),16,8,13,,,16,13,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),167,178,175,,,167,171.75,,,,,,,,,,,,,,,
PKAm (°),143,157,157,,,143,150,,,,,,,,,,,,,,,
Difference,24,21,18,,,24,21.75,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.59,2.74,2.8,,,2.59,2.68,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.3,1.33,1.36,,,1.3,1.3225,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.43,,2.28,,,2.43,2.38,,,,,,,,,,,,,,,
BSL (cm),1.65,1.78,1.8,,,1.65,1.72,,,,,,,,,,,,,,,
ISL:BSL (%),0.47,-1,0.27,,,0.47,5%,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.29,1.41,1.44,,,1.29,1.3575,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
