,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),56.8,52.95,49.47,51.55,50.52,51.79,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,0.14,0.13,0.14,0.14,0.14,0.14,0.14
Impulse Phase,0.36,0.35,0.38,0.36,0.38,0.37,0.37
Delivery Phase,0.18,0.19,0.19,0.18,0.17,0.18,0.18
Release Phase,0.14,0.14,0.15,0.15,0.16,0.15,0.15
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),33,36,34,35,35,37,35
Release (°),35,38,35,37,38,38,37
Attack (°),-2,-2,-1,-2,-3,-1,-2
Yaw (°),5,10,8,6,11,8,8
VoR (m/s),22.7,22.6,,,,21.1,22.1
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
"PKAc (°) PKAm (°)
Difference",,,,,,,
PKAm (°),,,,,,,
Difference,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),163,164,,,,159,162
Jav-Forearm Angle (°),29,32,,,,30,30
DISTANCES,,,,,,,
ISL (cm),165,170,,,,172,169
BSL (cm),151,155,,,,146,150.7
ISL:BSL (%),9%,10%,,,,18%,0.12
NA Draw Length (m),114,127,,,,115,118.7
Pull Length (m),123,119,,,,131,124.3
Draw distance (m),237,246,,,,246,243
Release distance (m),31,37,,,,27,31.7
