,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),41.61,44.16,43.31,44.29,45.2,42.71,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,0.14,,0.16,0.16,0.15,0.16,0.15
Impulse Phase,0.17,,0.16,0.19,0.21,0.21,0.19
Delivery Phase,0.25,,0.26,0.28,0.25,0.25,0.26
Release Phase,0.17,0.16,0.16,0.16,0.16,0.17,0.16
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),48,45,45,46,43,48,46
Release (°),42,43,39,41,37,41,41
Attack (°),6,2,6,5,6,7,5
Yaw (°),13,17,13,17,15,12,15
VoR (m/s),,21,,19,17,,19
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),168,170,173,170,165,172,170
PKAm (°),142,141,140,142,,134,140
Difference,26,29,33,28,165,38,53
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),116,122,114,112,121,118,117
Jav-Forearm Angle (°),78,85,87,83,80,70,81
DISTANCES,,,,,,,
ISL (cm),,,,131,138.2,,134.6
BSL (cm),165,,,162.2,156.8,,161.4
ISL:BSL (%),-100%,,,-19%,-12%,,-0.44
NA Draw Length (m),,,,128.5,122.3,,125.4
Pull Length (m),124.3,,,112.7,125.7,,120.9
Draw distance (m),,,,241.16,248.03,,244.6
Release distance (m),,29.8,,37.1,20.1,,29
