,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),44.76,49.15,46.09,47.97,41.89,45.87,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,58,62,63,57,57,66,60.50,,,,,,,,,,,,,,,
Impulse Phase,150,138,136,143,148,141,142.67,,,,,,,,,,,,,,,
Delivery Phase,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,
Release Phase,0.39,0.38,0.36,0.38,0.38,0.4,0.38,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),45,36,40,37,42,38,40,,,,,,,,,,,,,,,
Attack (°),-3,6,-1,3,2,9,3,,,,,,,,,,,,,,,
Yaw (°),21,18,18,24,21,16,20,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,,172,,169,171,170.6666667,,,,,,,,,,,,,,,
PKAm (°),,,145,,149,142,145.3333333,,,,,,,,,,,,,,,
Difference,,,27,,20,29,25.33333333,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.57,2.74,2.69,2.84,2.57,2.69,2.683333333,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.01,1.16,1.16,1.16,1.06,1.19,1.123333333,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),,,,,,,,,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.56,1.58,1.53,1.68,1.51,1.5,1.56,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
