,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),46.02,44.98,47.65,,,,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,58,62,59,,,,59.67,,,,,,,,,,,,,,,
Impulse Phase,147,142,135,,,,141.33,,,,,,,,,,,,,,,
Delivery Phase,0.13,0.13,0.13,,,,0.13,,,,,,,,,,,,,,,
Release Phase,0.4,0.38,0.39,,,,0.39,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),39,39,42,,,,40,,,,,,,,,,,,,,,
Attack (°),3,1,-5,,,,,,,,,,,,,,,,,,,
Yaw (°),18,24,24,,,,22,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,,,,,,,,,,,,,,,,,,,,,
PKAm (°),,,,,,,,,,,,,,,,,,,,,,
Difference,,,,,,,,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.57,2.59,2.59,,,,2.583333333,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.12,0.99,1.08,,,,1.063333333,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),,,,,,,,,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.45,1.6,1.51,,,,1.52,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
